body,link,title
"El Tesoro estrecha el cerco sobre la red de Alex Saab y congela los activos financieros de tres socios cercanos: el italiano Alessandro Bazzoni, el suizo Phillip Apikian y el venezolano Francisco D’Agostino",https://elpais.com/internacional/2021-01-19/ee-uu-sanciona-a-tres-miembros-clave-de-la-trama-que-comercializa-petroleo-venezolano.html,EE UU sanciona a tres miembros clave de la trama que comercializa petróleo venezolano
"El trabajo sobre la línea divisoria que separa México de Centroamérica, una zona que ha sido ignorada por décadas, es reconocido como Mejor Proyecto de Periodismo Digital por su “hermosa presentación y uso de imágenes y texto”",https://elpais.com/mexico/2020-10-27/la-frontera-desconocida-de-america-de-el-pais-y-el-faro-ganadora-de-los-premios-digital-media-latam.html," ‘La frontera desconocida de América’, de EL PAÍS y ‘El Faro’, ganadora de los Premios Digital Media LATAM"
"La Fundación García Márquez reconoce el trabajo ‘Frontera Sur’, realizado en alianza con ‘El Faro’, por ir más allá del cubrimiento tradicional y “poner rostro y corazón a las comunidades de una región olvidada” ",https://elpais.com/cultura/2021-01-22/el-pais-gana-el-premio-gabo-a-la-mejor-cobertura-con-una-serie-de-reportajes-sobre-la-frontera-sur-de-mexico.html,EL PAÍS gana el Premio Gabo a la mejor cobertura con una serie de reportajes sobre la frontera sur de México 
Los propios científicos se hacen un lío con la nomenclatura de las variantes del virus,https://elpais.com/opinion/2021-01-20/lexicografia-del-coronavirus.html,Lexicografía del coronavirus
"El club descarta la destitución de Zidane tras caer contra el Alcoyano, pero fija el verano para zanjar el postergado relevo generacional que llevó a la emigración de talento joven",https://elpais.com/deportes/2021-01-21/el-real-madrid-asume-el-fin-de-ciclo.html,El Real Madrid asume el fin de ciclo
El demócrata comienza su mandato con medidas contundentes que deshacen el legado contra la inmigración del exmandatario,https://elpais.com/internacional/elecciones-usa/2021-01-21/biden-condena-el-muro-de-trump-al-olvido.html,Biden condena el muro de Trump al olvido
"Un heroico conjunto de Segunda B, con diez en el tramo final, desnuda en la prórroga a su ilustre rival, que ni con los suplentes primero ni con los titulares después le pudo derrotar",https://elpais.com/deportes/2021-01-20/gatillazo-del-madrid-ante-el-alcoyano.html,Gatillazo del Madrid ante el Alcoyano
"La estructura del edificio ha quedado muy dañada. “Está claro que ha habido una deflagración por una gran acumulación de bolsa de gas”, ha dicho el concejal de Obras, Mariano Fuentes",https://elpais.com/espana/madrid/2021-01-21/uno-de-los-curas-que-se-salvo-de-la-explosion-fue-todo-rapidisimo-no-paraba-de-salir-humo-del-ascensor.html,Uno de los curas que se salvó de la explosión: “Fue todo rapidísimo. No paraba de salir humo del ascensor”
El ente mundial anuncia que excluirá de sus torneos a clubes y jugadores que participen en el proyecto que lidera Florentino Pérez,https://elpais.com/deportes/2021-01-21/la-fifa-avisa-de-que-no-reconoceria-la-superliga-impulsada-por-algunos-clubes-europeos.html,La FIFA se alía con la UEFA y amenaza a quienes formen la Superliga
"El intérprete argentino, estrella del cine francés tras ’120 pulsaciones por minuto’, da vida a un preso judío que enseña falso farsi a un oficial nazi en ‘El profesor de persa’",https://elpais.com/cultura/2021-01-21/nahuel-perez-biscayart-actuar-no-es-politico-ni-protocolario-es-desaparecer.html,"Nahuel Pérez Biscayart: “Actuar no es político ni protocolario, es desaparecer”"
"La quinta operación de espalda aumenta otra vez las dudas sobre el futuro del legendario golfista, que a los 45 años lucha contra su débil estado físico",https://elpais.com/deportes/2021-01-20/tiger-woods-cae-de-nuevo.html,Tiger Woods cae de nuevo
"‘El hombre melancólico’ es una de las pinturas más relevantes para entender la relación entre arte, locura y ciencia médica",https://elpais.com/ciencia/2021-01-21/un-cientifico-espanol-descubre-un-cuadro-inedito-de-las-monomanias-de-gericault-perdido-hace-200-anos.html,Un científico español descubre un cuadro inédito de las ‘Monomanías’ de Géricault perdido hace 200 años
